platform,series_ticker,series_title,market_ticker,market_title,status,close_time,rules_text,series_metadata
kalshi,KXIAEAIRANAGREEMENT,Iran NPT agreement,KXIAEAIRANAGREEMENT-26,Will the US agree to a new Iranian nuclear deal this year?,finalized,2025-10-20T23:36:14.849749Z,"If Iran agreed to, signed, or accepted safeguards agreement with the International Atomic Energy Agency (IAEA) to allow them to monitor Iran's Nuclear program before Jan 1, 2026, then the market resolves to Yes.
An agreement also made with other countries (i.e. multilaterally) is still encompassed if Iran participates. safeguards agreement with the International Atomic Energy Agency (IAEA) to allow them to monitor Iran's Nuclear program","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/AGREEMENT.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/AGREEMENT.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-28T14:24:55.166343Z', 'product_metadata': {'important_info': None}, 'settlement_sources': [{'name': 'ABC', 'url': 'https://abcnews.go.com/'}, {'name': 'Axios', 'url': 'https://www.axios.com/'}, {'name': 'CBS', 'url': 'https://www.cbsnews.com/'}, {'name': 'CNN', 'url': 'https://www.cnn.com/'}, {'name': 'Fox News', 'url': 'https://www.foxnews.com/'}, {'name': 'MSNBC', 'url': 'https://www.msnbc.com/'}, {'name': 'Politico', 'url': 'https://www.politico.com/'}, {'name': 'Reuters', 'url': 'https://www.reuters.com/'}, {'name': 'Semafor', 'url': 'https://www.semafor.com/'}, {'name': 'the Associated Press', 'url': 'https://apnews.com/'}, {'name': 'The Information', 'url': 'https://www.theinformation.com/'}, {'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}, {'name': 'The Wall Street Journal', 'url': 'https://www.wsj.com/'}, {'name': 'The Washington Post', 'url': 'https://www.washingtonpost.com/'}], 'tags': ['International'], 'ticker': 'KXIAEAIRANAGREEMENT', 'title': 'Iran NPT agreement'}}"
kalshi,KXBLUEWALL,Blue Wall votes together,KXBLUEWALL-24,Will Blue Wall vote together?,finalized,2025-01-06T19:07:39.960913Z,"If the Blue Wall states (Pennsylvania, Michigan, and Wisconsin) vote together in the 2024 U.S. presidential election, then the market resolves to Yes.
","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/STATEGROUP.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/STATEGROUP.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'custom', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'United States Congress', 'url': 'https://www.congress.gov/'}], 'tags': ['US Elections'], 'ticker': 'KXBLUEWALL', 'title': 'Blue Wall votes together'}}"
kalshi,KXDCEILEND,Debt ceiling abolished,KXDCEILEND-26-27,Will the debt ceiling be abolished?,active,2027-01-01T15:00:00Z,"If a bill becomes law that abolishes the debt ceiling (rather than just temporarily suspending or increasing it) before Jan 1, 2027, then the market resolves to Yes.
","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/DCEILEND.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/DCEILEND.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'custom', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'Library of Congress', 'url': 'https://www.congress.gov/'}], 'tags': ['Congress'], 'ticker': 'KXDCEILEND', 'title': 'Debt ceiling abolished'}}"
kalshi,KXDCEILEND,Debt ceiling abolished,KXDCEILEND-26,Will the debt ceiling be abolished?,finalized,2026-01-01T07:18:49.839821Z,"If a bill becomes law that abolishes the debt ceiling (rather than just temporarily suspending or increasing it) before Jan 1, 2026, then the market resolves to Yes.
","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/DCEILEND.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/DCEILEND.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'custom', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'Library of Congress', 'url': 'https://www.congress.gov/'}], 'tags': ['Congress'], 'ticker': 'KXDCEILEND', 'title': 'Debt ceiling abolished'}}"
kalshi,KXNYCDEBITS,NYC debits for migrants,NYCDEBITS-24-DEC31,NYC expanding debit card program for migrants?,finalized,2024-08-21T14:03:00.417137Z,"If NYC has expanded its program of prepaid debit cards for migrant families by Dec 31, 2024, then the market resolves to Yes.
","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/NYCDEBITS.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/NYCDEBITS.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'settlement_sources': [{'name': 'City of New York', 'url': 'https://www.nyc.gov/office-of-the-mayor/news.page'}], 'tags': None, 'ticker': 'KXNYCDEBITS', 'title': 'NYC debits for migrants'}}"
kalshi,KXEPSTEINNO,Will anyone vote No on releasing the Epstein files?,KXEPSTEINNO-26JAN01-SENATE,Will any Senator vote Nay on a bill that mandates any part of the federal government release files related to Jeffrey Epstein?,finalized,2025-11-19T02:50:56.644717Z,"If the number of Senators voting Nay on a bill that mandates any part of the federal government release files related to Jeffrey Epstein before Jan 1, 2026 is above 0, then the market resolves to Yes.
The vote count refers to the first final vote on passage in the full chamber, not committee votes or procedural motions. If no vote occurs before the deadline, markets including zero resolve to Yes (e.g., ""Below 50"") and markets excluding zero resolve to No (e.g., ""Between 50 and 64""). If the bill passes but vote count is unspecified, markets including the maximum chamber size (100 for Senate, 435 for House) resolve to Yes. Post-expiration requests to change votes are not considered for resolution.","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/BILLCOUNT.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/BILLCOUNT.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-03-21T00:21:48.184509Z', 'product_metadata': {'important_info': None}, 'settlement_sources': [{'name': 'Library of Congress', 'url': 'https://www.congress.gov/'}], 'tags': ['Congress'], 'ticker': 'KXEPSTEINNO', 'title': 'Will anyone vote No on releasing the Epstein files?'}}"
kalshi,KXEPSTEINNO,Will anyone vote No on releasing the Epstein files?,KXEPSTEINNO-26JAN01,Will anyone vote No on releasing the Epstein files?,finalized,2025-11-18T19:59:28.199809Z,"If the number of Representatives voting Nay on a bill that mandates any part of the federal government release files related to Jeffrey Epstein before Jan 1, 2026 is above 0, then the market resolves to Yes.
The vote count refers to the first final vote on passage in the full chamber, not committee votes or procedural motions. If no vote occurs before the deadline, markets including zero resolve to Yes (e.g., ""Below 50"") and markets excluding zero resolve to No (e.g., ""Between 50 and 64""). If the bill passes but vote count is unspecified, markets including the maximum chamber size (100 for Senate, 435 for House) resolve to Yes. Post-expiration requests to change votes are not considered for resolution.","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/BILLCOUNT.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/BILLCOUNT.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-03-21T00:21:48.184509Z', 'product_metadata': {'important_info': None}, 'settlement_sources': [{'name': 'Library of Congress', 'url': 'https://www.congress.gov/'}], 'tags': ['Congress'], 'ticker': 'KXEPSTEINNO', 'title': 'Will anyone vote No on releasing the Epstein files?'}}"
kalshi,KXTRUMPCALI,Trump suing Cali ,KXTRUMPCALI-26,Will Trump sue California before 2026?,finalized,2025-10-23T23:22:17.221741Z,"If Trump or the Trump Administration sues The State of California before Jan 1, 2026, then the market resolves to Yes.
A lawsuit or some other formal adversarial legal process (such as pre-complaint discovery or an arbitration claim) is encompassed by the Payout Criterion.","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/SUE.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/SUE.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'one_off', 'last_updated_ts': '2026-02-26T08:50:31.901806Z', 'product_metadata': {'important_info': None}, 'settlement_sources': [{'name': 'Associated Press', 'url': 'https://apnews.com'}, {'name': 'Axios', 'url': 'https://www.axios.com/'}, {'name': 'Bloomberg', 'url': 'https://www.bloomberg.com/'}, {'name': 'Politico', 'url': 'https://www.politico.com/'}, {'name': 'Reuters', 'url': 'https://www.reuters.com/'}, {'name': 'Semafor', 'url': 'https://www.semafor.com/'}, {'name': 'The New York Times', 'url': 'https://www.nytimes.com/'}], 'tags': None, 'ticker': 'KXTRUMPCALI', 'title': 'Trump suing Cali '}}"
kalshi,KXCABLEAVE,Cabinet member leaving,KXCABLEAVE-26MAR-27JAN,Will any member of Trump's Cabinet leave before Jan 2027?,active,2027-01-02T04:59:00Z,"If any member of Trump's Cabinet leaves their office, or announces they will leave their office, from Mar 11, 2026 to Jan 1, 2027, then the market resolves to Yes.
The President announcing that a member of the Cabinet will leave the Cabinet also qualifies.

For purposes of this Contract, the Cabinet includes the heads of the 15 government agencies in the Cabinet as of Issuance, as well the Administrator of the EPA, the President’s Chief of Staff, Director of National Intelligence, Director of OMB, Director of CIA, United States Trade Representative, Ambassador to the UN, Chair of the Council of Economic Advisers, Administrator of the SBA, and Director of OSTP. Acting roles are not included. Leaving office as a result of death is not encompassed by the Payout Criterion.","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/CABLEAVE.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/CABLEAVE.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'annual', 'last_updated_ts': '2026-03-10T20:26:24.724713Z', 'product_metadata': {'important_info': None}, 'settlement_sources': [{'name': 'Associated Press', 'url': 'https://apnews.com'}, {'name': 'Axios', 'url': 'https://www.axios.com'}, {'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}, {'name': 'New York Times', 'url': 'https://www.nytimes.com/'}, {'name': 'Politico', 'url': 'https://www.politico.com'}, {'name': 'Reuters', 'url': 'https://www.reuters.com/'}, {'name': 'White House', 'url': 'https://whitehouse.gov/'}], 'tags': ['Trump'], 'ticker': 'KXCABLEAVE', 'title': 'Cabinet member leaving'}}"
kalshi,KXCABLEAVE,Cabinet member leaving,KXCABLEAVE-26MAR-26MAY,Will any member of Trump's Cabinet leave before May 2026?,active,2026-05-02T03:59:00Z,"If any member of Trump's Cabinet leaves their office, or announces they will leave their office, from Mar 11, 2026 to May 1, 2026, then the market resolves to Yes.
The President announcing that a member of the Cabinet will leave the Cabinet also qualifies.

For purposes of this Contract, the Cabinet includes the heads of the 15 government agencies in the Cabinet as of Issuance, as well the Administrator of the EPA, the President’s Chief of Staff, Director of National Intelligence, Director of OMB, Director of CIA, United States Trade Representative, Ambassador to the UN, Chair of the Council of Economic Advisers, Administrator of the SBA, and Director of OSTP. Acting roles are not included. Leaving office as a result of death is not encompassed by the Payout Criterion.","{'series': {'additional_prohibitions': ['Persons who are employed by any of the Source Agencies are not permitted to trade on the Contract.', 'Persons who hold any material, non-public information on the Underlying are not permitted to trade on the Contract.'], 'category': 'Politics', 'contract_terms_url': 'https://kalshi-public-docs.s3.amazonaws.com/contract_terms/CABLEAVE.pdf', 'contract_url': 'https://kalshi-public-docs.s3.us-east-1.amazonaws.com/regulatory/product-certifications/CABLEAVE.pdf', 'fee_multiplier': 1, 'fee_type': 'quadratic', 'frequency': 'annual', 'last_updated_ts': '2026-03-10T20:26:24.724713Z', 'product_metadata': {'important_info': None}, 'settlement_sources': [{'name': 'Associated Press', 'url': 'https://apnews.com'}, {'name': 'Axios', 'url': 'https://www.axios.com'}, {'name': 'Bloomberg', 'url': 'https://www.bloomberg.com'}, {'name': 'New York Times', 'url': 'https://www.nytimes.com/'}, {'name': 'Politico', 'url': 'https://www.politico.com'}, {'name': 'Reuters', 'url': 'https://www.reuters.com/'}, {'name': 'White House', 'url': 'https://whitehouse.gov/'}], 'tags': ['Trump'], 'ticker': 'KXCABLEAVE', 'title': 'Cabinet member leaving'}}"
